,coordL,coordW,isLight,isDry,isClear,isCloudy,is_pedestrian,is_adjustable
69,37.838759,55.715478,0,1,0,1,0,0
70,37.686582,55.894687,0,0,0,1,0,1
71,37.73926,55.765348,0,1,0,0,1,0
72,37.812098,55.829294,0,0,0,1,0,0
73,37.527709,55.822261,1,0,0,1,1,0
74,37.576976,55.791704,0,1,0,1,0,0
75,37.764956,55.802348,0,1,0,0,1,0
76,37.569487,55.841458,0,0,0,1,0,0
77,37.50505,55.618849,1,1,0,1,1,1
78,37.717041,55.718306,1,1,1,0,0,0
79,37.501177,55.77507,1,0,0,1,0,0
80,37.402525,55.699078,1,0,0,1,0,0
81,37.364362,55.643923,1,1,0,1,1,0
82,37.721236,55.879006,1,1,1,0,0,0
83,37.663504,55.571982,0,1,0,1,0,0
84,37.601674,55.887046,0,0,0,1,1,1
85,37.8395,55.803868,0,1,0,1,0,0
86,37.511594,55.806238,0,0,0,1,0,0
87,37.390562,55.653585,0,0,0,1,0,0
88,37.455075,55.642518,0,1,1,0,0,0
89,37.364266,55.611505,0,1,0,1,0,0
90,37.734904,55.877682,0,1,0,1,0,0
91,37.634332,55.757253,0,1,1,0,0,0
92,37.844199,55.68272,0,1,0,1,1,0
93,37.380853,55.764811,0,0,0,1,0,0
94,37.586653,55.791921,1,1,1,0,0,1
95,37.212367,55.995693,1,0,0,1,0,1
96,37.469795,55.602499,1,1,1,0,0,0
97,37.700475,55.706671,1,0,0,1,0,0
98,37.686925,55.885192,1,1,0,1,0,1
99,37.651917,55.774751,1,1,1,0,0,1
100,37.608969,55.773031,1,1,0,1,0,1
101,37.365682,55.764424,0,0,0,1,0,0
102,37.475406,55.812924,0,1,0,1,0,0
103,37.557138,55.693957,1,0,0,1,0,0
104,37.431933,55.857605,0,1,0,1,1,0
105,37.81831,55.754766,0,1,0,1,0,0
106,37.423403,55.733792,0,1,0,1,0,0
107,37.750182,55.700517,0,0,0,1,0,1
108,37.612993,55.583706,1,1,0,1,0,1
109,37.778914,55.704374,0,1,0,1,0,0
110,37.684221,55.579333,0,1,0,1,1,1
111,37.807174,55.696218,0,1,0,1,0,0
112,37.236603,55.757162,0,1,0,1,1,0
113,37.453026,55.608384,1,1,0,1,1,0
114,37.541292,55.66604,0,1,0,1,0,0
115,37.487572,55.763326,0,1,0,1,0,0
116,37.826529,55.750231,0,1,0,1,1,0
117,37.681979,55.870754,0,1,0,1,1,0
118,37.79887,55.80461,0,1,0,1,0,0
119,37.56128,55.856022,1,1,0,1,1,0
120,37.739357,55.610723,0,1,0,1,0,0
121,37.620986,55.869593,0,1,0,1,0,1
122,37.744646,55.644674,1,0,0,1,0,0
123,37.586653,55.889699,0,0,0,1,0,1
124,37.661208,55.58393,1,0,0,1,0,0
125,37.621511,55.702736,0,0,0,1,0,0
126,37.537311,55.755412,0,1,0,1,0,1
127,37.545573,55.546765,0,1,0,1,1,1
128,37.597983,55.582869,1,0,0,1,0,0
129,37.649342,55.818867,1,0,0,1,0,0
130,37.258222,55.611626,0,1,0,1,1,0
131,37.539639,55.756124,0,0,1,0,1,1
132,37.695647,55.63679,0,1,0,1,0,0
133,37.668697,55.685666,0,1,0,1,0,0
134,37.657024,55.762408,0,0,0,1,0,0
135,37.542976,55.894049,0,1,0,1,0,0
136,37.569519,55.791643,0,0,0,1,0,1
137,37.515897,55.821519,0,0,0,1,1,0
138,37.533513,55.833307,0,0,0,1,0,0
139,37.510285,55.800714,0,0,0,1,1,0
140,37.616147,55.739005,1,0,0,1,1,0
141,37.696474,55.781424,0,0,0,1,0,0
142,37.719691,55.653101,1,0,0,1,1,0
143,37.42483,55.729563,0,0,0,1,1,0
144,37.603841,55.611966,0,0,0,1,0,0
145,37.727158,55.706158,0,0,0,1,0,0
146,37.392794,55.844018,0,0,0,1,0,0
147,37.542053,55.546055,1,0,0,1,1,0
148,37.616308,55.78759,1,0,0,1,1,0
149,37.586353,55.692227,1,0,0,1,1,0
150,37.597597,55.567305,1,0,0,1,1,1
151,37.632433,55.772657,0,0,0,0,0,1
152,37.635148,55.735664,1,0,0,0,1,0
153,37.824115,55.718469,1,0,0,1,1,0
154,37.588756,55.869304,1,0,0,1,0,1
155,37.727791,55.624016,1,0,0,1,0,0
